,fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,density,pH,sulphates,alcohol,quality,sum_ligne,bound_SO2
308,11.1,0.45,0.73,3.2,0.066,6.0,0.9986,3.17,0.66,11.2,6,53.5746,16.0
383,11.2,0.5,0.74,5.15,0.1,5.0,0.9996,3.22,0.62,11.2,5,50.729600000000005,12.0
712,8.0,0.58,0.16,2.0,0.12,3.0,0.99454,3.22,0.58,11.2,6,33.85454,4.0
1016,7.6,0.41,0.33,2.5,0.078,6.0,0.9957,3.3,0.58,11.2,5,49.9937,17.0
626,6.8,0.57,1e-12,2.5,0.072,32.0,0.99491,3.43,0.56,11.2,6,90.126910000001,32.0
891,6.3,1.02,1e-12,2.0,0.083,17.0,0.99437,3.59,0.55,11.2,4,49.737370000001,7.0
849,7.9,0.34,0.36,1.9,0.065,5.0,0.99419,3.27,0.54,11.2,7,36.56919,5.0
902,7.8,0.58,0.13,2.1,0.102,17.0,0.9944,3.24,0.53,11.2,6,62.6764,19.0
900,5.9,0.46,1e-12,1.9,0.077,25.0,0.99385,3.5,0.53,11.2,5,68.560850000001,19.0
832,6.5,0.88,0.03,5.6,0.079,23.0,0.99572,3.58,0.5,11.2,4,76.36471999999999,24.0
540,6.3,0.98,0.01,2.0,0.057,15.0,0.99488,3.6,0.46,11.2,6,58.60188,18.0
755,9.3,0.33,0.45,1.5,0.057,19.0,0.99498,3.18,0.89,11.1,7,64.80198,18.0
677,8.5,0.47,0.27,1.9,0.0579999999999999,18.0,0.99518,3.16,0.85,11.1,6,65.30318,20.0
730,8.9,0.5,0.21,2.2,0.088,21.0,0.99692,3.33,0.83,11.1,6,67.15492,18.0
1049,7.6,0.35,0.6,2.6,0.073,23.0,0.99656,3.38,0.79,11.1,6,71.48956000000001,21.0
351,7.2,0.34,0.32,2.5,0.09,43.0,0.9966,3.32,0.79,11.1,5,139.6566,70.0
595,5.9,0.61,0.08,2.1,0.071,16.0,0.99376,3.56,0.77,11.1,6,49.184760000000004,8.0
399,15.6,0.645,0.49,4.2,0.095,10.0,1.00315,2.92,0.74,11.1,5,59.793150000000004,13.0
397,15.5,0.645,0.49,4.2,0.095,10.0,1.00315,2.92,0.74,11.1,5,59.69315,13.0
516,8.1,0.72,0.09,2.8,0.084,18.0,0.9994,3.43,0.72,11.1,6,77.0434,31.0
993,7.2,0.67,1e-12,2.2,0.068,10.0,0.9956,3.42,0.72,11.1,6,50.373600000001,14.0
1078,7.9,0.18,0.4,1.8,0.062,7.0,0.9941,3.28,0.7,11.1,5,46.4161,13.0
818,9.6,0.42,0.35,2.1,0.083,17.0,0.99622,3.23,0.66,11.1,6,66.53922,21.0
1123,6.4,0.38,0.14,2.2,0.038,15.0,0.99514,3.44,0.65,11.1,6,50.34314,10.0
320,7.0,0.23,0.4,1.6,0.063,21.0,0.9952,3.5,0.63,11.1,5,92.51820000000001,46.0
964,7.3,0.43,0.24,2.5,0.078,27.0,0.99648,3.6,0.59,11.1,6,93.83448000000001,40.0
1024,6.8,0.915,0.29,4.8,0.07,15.0,0.99577,3.53,0.54,11.1,5,68.04077000000001,24.0
1026,7.3,0.67,0.02,2.2,0.072,31.0,0.99566,3.32,0.68,11.066666666666698,6,118.3243266666667,61.0
265,11.5,0.45,0.5,3.0,0.078,19.0,1.0003,3.26,1.11,11.0,6,78.8983,28.0
337,10.4,0.24,0.49,1.8,0.075,6.0,0.9977,3.18,1.06,11.0,6,49.2427,14.0
409,11.5,0.35,0.49,3.3,0.07,10.0,1.0003,3.32,0.91,11.0,6,68.94030000000001,27.0
296,10.5,0.24,0.47,2.1,0.066,6.0,0.9978,3.15,0.9,11.0,7,53.4238,18.0
251,11.5,0.41,0.52,3.0,0.08,29.0,1.0001,3.26,0.88,11.0,5,86.65010000000001,26.0
654,8.6,0.22,0.36,1.9,0.064,53.0,0.99604,3.47,0.87,11.0,7,104.48004,24.0
807,8.2,0.38,0.32,2.5,0.08,24.0,0.99624,3.27,0.85,11.0,6,98.59624000000001,47.0
852,7.2,0.36,0.46,2.1,0.074,24.0,0.99534,3.4,0.85,11.0,7,70.43934,20.0
834,8.2,0.35,0.33,2.4,0.076,11.0,0.99599,3.27,0.81,11.0,6,74.43199,36.0
1032,7.8,0.32,0.44,2.7,0.104,8.0,0.99732,3.33,0.78,11.0,7,44.47132,9.0
1138,6.3,0.51,0.13,2.3,0.076,29.0,0.99574,3.42,0.75,11.0,6,65.48174,11.0
385,9.5,0.46,0.49,6.3,0.064,5.0,0.9988,3.21,0.73,11.0,6,49.7528,12.0
387,11.2,0.66,0.24,2.5,0.085,16.0,0.9993,3.06,0.72,11.0,6,83.46430000000001,37.0
649,8.4,0.36,0.32,2.2,0.081,32.0,0.9964,3.3,0.72,11.0,6,106.3774,47.0
640,7.2,0.54,0.27,2.6,0.084,12.0,0.9964,3.39,0.71,11.0,5,104.7904,66.0
786,7.9,0.33,0.41,1.5,0.0559999999999999,6.0,0.99396,3.29,0.71,11.0,6,61.18996,29.0
888,7.0,0.58,0.28,4.8,0.085,12.0,0.99633,3.32,0.7,11.0,6,97.76133,57.0
1072,6.2,0.44,0.39,2.5,0.077,6.0,0.99555,3.51,0.69,11.0,6,39.80255,8.0
226,7.4,0.36,0.29,2.6,0.087,26.0,0.99645,3.39,0.68,11.0,5,98.80345,46.0
1015,6.4,0.53,0.09,3.9,0.123,14.0,0.9968,3.5,0.67,11.0,4,58.2098,17.0
276,11.5,0.59,0.59,2.6,0.087,13.0,0.9988,3.18,0.65,11.0,6,80.19579999999999,36.0
349,10.7,0.35,0.53,2.6,0.07,5.0,0.9972,3.15,0.65,11.0,8,46.0472,11.0
592,7.5,0.27,0.34,2.3,0.05,4.0,0.9951,3.4,0.64,11.0,7,34.4951,4.0
1017,7.8,0.64,1e-12,1.9,0.072,27.0,0.9962,3.31,0.63,11.0,5,81.34820000000101,28.0
647,5.3,0.715,0.19,1.5,0.161,7.0,0.99395,3.62,0.61,11.0,5,86.08995,55.0
1110,6.6,0.855,0.02,2.4,0.062,15.0,0.99627,3.54,0.6,11.0,6,49.073269999999994,8.0
916,7.6,0.74,1e-12,1.9,0.1,6.0,0.99521,3.36,0.59,11.0,5,38.285210000001,6.0
458,8.3,0.845,0.01,2.2,0.07,5.0,0.9967,3.32,0.58,11.0,4,41.3217,9.0
987,8.0,0.64,0.22,2.4,0.094,5.0,0.99612,3.37,0.58,11.0,5,60.30012,28.0
759,8.6,0.37,0.65,6.4,0.08,3.0,0.99817,3.27,0.58,11.0,5,39.94816999999999,5.0
1044,6.7,1.04,0.08,2.3,0.067,19.0,0.99648,3.52,0.57,11.0,4,58.273480000000006,13.0
153,8.7,0.625,0.16,2.0,0.1009999999999999,13.0,0.9962,3.14,0.57,11.0,5,76.29220000000001,36.0
1050,6.1,0.6,0.08,1.8,0.071,14.0,0.99336,3.38,0.54,11.0,5,69.56436,31.0
956,11.5,0.42,0.48,2.6,0.077,8.0,0.99852,3.09,0.53,11.0,5,50.69552,12.0
235,8.4,0.56,0.08,2.1,0.105,16.0,0.9958,3.13,0.52,11.0,5,70.8908,28.0
998,8.2,0.24,0.34,5.1,0.062,8.0,0.9974,3.22,0.94,10.9,6,51.9994,14.0
188,12.5,0.56,0.49,2.4,0.064,5.0,0.9999,3.08,0.87,10.9,5,58.8639,22.0
683,10.4,0.26,0.48,1.9,0.066,6.0,0.99724,3.33,0.87,10.9,6,39.20324000000001,4.0
861,9.0,0.39,0.4,1.3,0.044,25.0,0.99478,3.2,0.83,10.9,6,77.05878,25.0
753,11.1,0.31,0.53,2.2,0.06,3.0,0.99572,3.02,0.83,10.9,7,39.94572,7.0
1117,6.7,0.67,0.02,1.9,0.061,26.0,0.99489,3.39,0.82,10.9,6,67.45589,16.0
846,7.7,0.26,0.26,2.0,0.052,19.0,0.9951,3.15,0.79,10.9,6,103.1071,58.0
736,9.3,0.49,0.36,1.7,0.081,3.0,0.99702,3.27,0.78,10.9,6,41.87802,11.0
917,8.2,0.635,0.1,2.1,0.073,25.0,0.99638,3.29,0.75,10.9,6,87.04437999999999,35.0
608,9.3,0.36,0.39,1.5,0.08,41.0,0.99652,3.47,0.73,10.9,6,82.72652,14.0
601,10.6,0.5,0.45,2.6,0.119,34.0,0.99708,3.23,0.72,10.9,6,98.11608,34.0
168,12.0,0.38,0.56,2.1,0.093,6.0,0.99925,3.14,0.71,10.9,6,54.882250000000006,18.0
837,6.7,0.64,0.23,2.1,0.08,11.0,0.99538,3.36,0.7,10.9,5,144.70538,108.0
886,7.8,0.7,0.06,1.9,0.079,20.0,0.99628,3.4,0.69,10.9,5,61.525279999999995,15.0
1034,11.7,0.45,0.63,2.2,0.073,7.0,0.99974,3.21,0.69,10.9,6,53.852740000000004,16.0
910,7.9,0.765,1e-12,2.0,0.084,9.0,0.99619,3.33,0.68,10.9,6,48.655190000001,13.0
584,12.9,0.5,0.55,2.8,0.072,7.0,1.00012,3.09,0.68,10.9,6,56.49212,17.0
1135,5.8,0.61,0.11,1.8,0.066,18.0,0.99483,3.55,0.66,10.9,6,52.49083,10.0
1035,6.5,0.9,1e-12,1.6,0.052,9.0,0.99467,3.5,0.63,10.9,6,42.076670000001,8.0
882,7.1,0.6,0.01,2.3,0.079,24.0,0.99514,3.4,0.61,10.9,6,62.994139999999994,13.0
84,8.8,0.55,0.04,2.2,0.119,14.0,0.9962,3.21,0.6,10.9,6,83.4152,42.0
644,9.1,0.28,0.46,9.0,0.114,3.0,0.99901,3.18,0.6,10.9,6,43.63301,6.0
912,7.0,0.42,0.19,2.3,0.071,18.0,0.99476,3.39,0.56,10.9,5,61.82576,18.0
594,7.5,0.685,0.07,2.5,0.0579999999999999,5.0,0.99632,3.38,0.55,10.9,4,35.63932,4.0
695,9.7,0.295,0.4,1.5,0.073,14.0,0.99556,3.14,0.51,10.9,6,48.513560000000005,7.0
87,8.2,1.33,1e-12,1.7,0.081,3.0,0.9964,3.53,0.49,10.9,5,39.227400000001,9.0
88,8.1,1.33,1e-12,1.8,0.0819999999999999,3.0,0.9964,3.54,0.48,10.9,5,39.228400000001,9.0
295,7.7,0.96,0.2,2.0,0.047,15.0,0.9955,3.36,0.44,10.9,5,86.60249999999999,45.0
922,7.6,1.58,1e-12,2.1,0.1369999999999999,5.0,0.99476,3.5,0.4,10.9,3,36.211760000001,4.0
45,7.2,0.725,0.05,4.65,0.086,4.0,0.9962,3.41,0.39,10.9,5,39.4072,7.0
357,10.5,0.24,0.42,1.8,0.077,6.0,0.9976,3.21,1.05,10.8,7,51.0946,16.0
359,10.4,0.24,0.46,1.8,0.075,6.0,0.9976,3.25,1.02,10.8,7,50.0426,15.0
574,9.3,0.37,0.44,1.6,0.038,21.0,0.99526,3.24,0.81,10.8,7,69.59326,21.0
1127,8.0,0.3,0.63,1.6,0.081,16.0,0.99588,3.3,0.78,10.8,6,55.48688,13.0
737,9.3,0.5,0.36,1.8,0.084,6.0,0.99704,3.27,0.77,10.8,6,44.88104,11.0
145,12.8,0.3,0.74,2.6,0.095,9.0,0.9994,3.2,0.77,10.8,7,60.3044,19.0
783,10.8,0.47,0.43,2.1,0.171,27.0,0.9982,3.17,0.76,10.8,6,95.6992,39.0
637,7.4,0.635,0.1,2.4,0.08,16.0,0.99736,3.58,0.69,10.8,7,59.68236,17.0
1075,6.8,0.81,0.05,2.0,0.07,6.0,0.99562,3.51,0.66,10.8,6,39.69562,8.0
282,9.8,0.44,0.47,2.5,0.063,9.0,0.9981,3.24,0.65,10.8,6,56.9611,19.0
283,12.0,0.39,0.66,3.0,0.093,12.0,0.9996,3.18,0.63,10.8,7,61.7526,18.0
871,7.8,0.815,0.01,2.6,0.074,48.0,0.99621,3.38,0.62,10.8,5,117.09521,42.0
754,8.0,0.62,0.35,2.8,0.086,28.0,0.997,3.31,0.62,10.8,5,79.583,24.0
978,7.5,0.57,0.02,2.6,0.077,11.0,0.99557,3.36,0.62,10.8,6,61.54257,24.0
496,11.8,0.38,0.55,2.1,0.071,5.0,0.9986,3.11,0.62,10.8,6,49.42960000000001,14.0
316,11.9,0.39,0.69,2.8,0.095,17.0,0.9994,3.1,0.61,10.8,6,66.3844,18.0
26,7.8,0.6,0.14,2.4,0.086,3.0,0.9975,3.42,0.6,10.8,6,41.843500000000006,12.0
639,6.8,0.59,0.06,6.0,0.06,11.0,0.9962,3.41,0.59,10.8,7,47.306200000000004,7.0
642,7.4,0.52,0.13,2.4,0.078,34.0,0.99528,3.43,0.59,10.8,6,87.34328000000001,27.0
570,7.7,0.6,1e-12,2.6,0.055,7.0,0.99639,3.38,0.56,10.8,5,39.691390000001,6.0
1041,6.9,0.63,0.01,2.4,0.076,14.0,0.99522,3.34,0.53,10.8,6,64.68122,25.0
841,6.5,0.885,1e-12,2.3,0.166,6.0,0.99551,3.56,0.51,10.8,5,37.716510000001,6.0
773,6.6,0.725,0.09,5.5,0.1169999999999999,9.0,0.99655,3.35,0.49,10.8,6,45.668549999999996,8.0
999,6.0,0.51,1e-12,2.1,0.064,40.0,0.995,3.54,0.93,10.7,6,78.839000000001,14.0
391,10.6,0.31,0.49,2.5,0.067,6.0,0.9987,3.26,0.86,10.7,6,50.78569999999999,15.0
407,9.8,0.5,0.49,2.6,0.25,5.0,0.999,3.31,0.79,10.7,6,49.43899999999999,15.0
243,11.9,0.57,0.5,2.6,0.0819999999999999,6.0,1.0006,3.12,0.78,10.7,6,63.2526,26.0
381,8.1,0.825,0.24,2.1,0.084,5.0,0.9972,3.37,0.77,10.7,6,40.1862,8.0
193,7.9,0.545,0.06,4.0,0.087,27.0,0.9965,3.36,0.67,10.7,6,89.3185,34.0
734,7.6,0.78,1e-12,1.7,0.076,33.0,0.99612,3.31,0.62,10.7,6,70.782120000001,12.0
997,8.0,0.5,0.39,2.6,0.0819999999999999,12.0,0.9985,3.43,0.62,10.7,6,73.32050000000001,34.0
1059,8.1,0.33,0.44,1.5,0.042,6.0,0.99542,3.35,0.61,10.7,5,38.06742,6.0
216,7.5,0.53,0.06,2.6,0.086,20.0,0.9965,3.38,0.59,10.7,6,70.44250000000001,24.0
47,6.6,0.705,0.07,1.6,0.076,6.0,0.9962,3.44,0.58,10.7,5,39.7672,9.0
757,8.0,0.62,0.33,2.7,0.088,16.0,0.9972,3.31,0.58,10.7,6,64.3252,21.0
632,7.1,0.59,0.01,2.3,0.08,27.0,0.9955,3.42,0.58,10.7,6,68.7755,16.0
67,6.8,0.775,1e-12,3.0,0.102,8.0,0.9965,3.45,0.56,10.7,5,49.383500000001,15.0
52,6.8,0.785,1e-12,2.4,0.104,14.0,0.9966,3.52,0.55,10.7,6,55.855600000001004,16.0
575,9.4,0.5,0.34,3.6,0.0819999999999999,5.0,0.9987,3.29,0.52,10.7,6,43.4307,9.0
593,7.1,0.46,0.14,2.8,0.076,15.0,0.99624,3.36,0.49,10.7,5,63.12224,22.0
539,7.8,0.91,0.07,1.9,0.0579999999999999,22.0,0.99525,3.51,0.43,10.7,6,73.37325,25.0
264,9.1,0.28,0.48,1.8,0.067,26.0,0.9967,3.32,1.04,10.6,6,73.6837,20.0
1086,6.1,0.32,0.25,2.3,0.071,23.0,0.99633,3.42,0.97,10.6,5,83.02733,35.0
206,8.7,0.52,0.09,2.5,0.091,20.0,0.9976,3.34,0.86,10.6,7,76.6986,29.0
1068,7.0,0.43,0.02,1.9,0.08,15.0,0.99492,3.35,0.81,10.6,6,53.18492,13.0
1062,6.0,0.64,0.05,1.9,0.066,9.0,0.99496,3.52,0.78,10.6,5,41.550959999999996,8.0
1003,6.4,0.47,0.4,2.4,0.071,8.0,0.9963,3.56,0.73,10.6,6,44.6273,11.0
1077,7.1,0.27,0.6,2.1,0.074,17.0,0.99814,3.38,0.72,10.6,6,50.84214,8.0
1056,8.2,0.28,0.6,3.0,0.104,10.0,0.99828,3.39,0.68,10.6,5,49.85228,12.0
612,11.7,0.28,0.47,1.7,0.054,17.0,0.99686,3.15,0.67,10.6,7,61.62086,15.0
727,10.1,0.37,0.34,2.4,0.085,5.0,0.99683,3.17,0.65,10.6,7,45.71183,12.0
332,13.0,0.32,0.65,2.6,0.093,15.0,0.9996,3.05,0.61,10.6,5,78.92259999999999,32.0
937,6.7,0.46,0.24,1.7,0.077,18.0,0.9948,3.39,0.6,10.6,6,58.7618,16.0
617,6.9,0.56,0.03,1.5,0.086,36.0,0.99522,3.53,0.57,10.6,5,70.77122,10.0
299,9.5,0.78,0.22,1.9,0.077,6.0,0.9988,3.26,0.56,10.6,6,59.895799999999994,26.0
1108,7.0,0.56,0.17,1.7,0.065,15.0,0.99514,3.44,0.68,10.55,7,49.16014,9.0
971,6.9,0.54,0.3,2.2,0.088,9.0,0.99725,3.25,1.18,10.5,6,130.95525,96.0
48,8.0,0.705,0.05,1.9,0.074,8.0,0.9962,3.34,0.95,10.5,6,45.5152,11.0
89,8.0,0.59,0.16,1.8,0.065,3.0,0.9962,3.42,0.92,10.5,7,42.4512,13.0
30,7.5,0.49,0.2,2.6,0.332,8.0,0.9968,3.21,0.9,10.5,6,40.7288,6.0
28,7.3,0.45,0.36,5.9,0.074,12.0,0.9978,3.33,0.83,10.5,5,116.7418,75.0
183,10.0,0.31,0.47,2.6,0.085,14.0,0.99965,3.36,0.8,10.5,7,62.12465,19.0
198,8.9,0.4,0.32,5.6,0.087,10.0,0.9991,3.38,0.77,10.5,7,77.95609999999999,37.0
152,7.0,0.49,0.49,5.6,0.06,26.0,0.9974,3.34,0.76,10.5,5,150.2374,95.0
12,8.5,0.28,0.56,1.8,0.092,35.0,0.9969,3.3,0.75,10.5,7,129.7789,68.0
661,6.6,0.61,0.01,1.9,0.08,8.0,0.99746,3.69,0.73,10.5,5,50.11746,17.0
313,12.5,0.38,0.6,2.6,0.081,31.0,0.9996,3.1,0.73,10.5,5,103.4906,41.0
107,7.1,0.43,0.42,5.5,0.07,29.0,0.9973,3.42,0.72,10.5,5,158.1573,100.0
688,9.1,0.5,0.3,1.9,0.065,8.0,0.99774,3.32,0.71,10.5,6,44.39274,9.0
106,7.1,0.43,0.42,5.5,0.071,28.0,0.9973,3.42,0.71,10.5,5,157.1483,100.0
880,7.4,0.55,0.19,1.8,0.0819999999999999,15.0,0.99655,3.49,0.68,10.5,5,59.68855,19.0
467,12.0,0.5,0.59,1.4,0.073,23.0,0.998,2.92,0.68,10.5,7,71.661,19.0
827,9.2,0.36,0.34,1.6,0.062,5.0,0.99667,3.2,0.67,10.5,6,38.92867,7.0
51,8.8,0.41,0.64,2.2,0.093,9.0,0.9986,3.54,0.66,10.5,5,69.8416,33.0
624,8.9,0.75,0.14,2.5,0.086,9.0,0.99824,3.34,0.64,10.5,5,57.854240000000004,21.0
280,11.4,0.6,0.49,2.7,0.085,10.0,0.9994,3.15,0.63,10.5,6,71.5544,31.0
1084,7.4,0.47,0.46,2.2,0.114,7.0,0.99647,3.32,0.63,10.5,5,46.090469999999996,13.0
81,9.4,0.4,0.31,2.2,0.09,13.0,0.9966,3.07,0.63,10.5,6,89.5966,49.0
125,7.5,0.52,0.42,2.3,0.087,8.0,0.9972,3.58,0.61,10.5,6,64.51419999999999,30.0
279,12.2,0.48,0.54,2.6,0.085,19.0,1.0,3.1,0.61,10.5,6,95.11500000000001,45.0
558,8.3,0.43,0.3,3.4,0.079,7.0,0.99788,3.36,0.61,10.5,5,61.976879999999994,27.0
1037,8.4,0.29,0.4,1.7,0.067,8.0,0.99603,3.39,0.6,10.5,5,46.34303,12.0
1140,6.2,0.6,0.08,2.0,0.09,32.0,0.9949,3.45,0.58,10.5,5,68.4949,12.0
160,7.7,0.43,0.25,2.6,0.073,29.0,0.99615,3.37,0.58,10.5,6,89.49914999999999,34.0
448,7.6,0.41,0.14,3.0,0.087,21.0,0.9964,3.32,0.57,10.5,6,69.6234,22.0
913,11.3,0.37,0.5,1.8,0.09,20.0,0.99734,3.15,0.57,10.5,5,76.27734000000001,27.0
720,7.7,0.58,0.01,1.8,0.088,12.0,0.99568,3.32,0.56,10.5,7,43.55368,6.0
651,9.6,0.41,0.37,2.3,0.091,10.0,0.99786,3.24,0.56,10.5,5,51.06886,13.0
952,7.5,0.51,0.02,1.7,0.084,13.0,0.99538,3.36,0.54,10.5,6,56.209379999999996,18.0
718,7.0,0.51,0.09,2.1,0.062,4.0,0.99584,3.35,0.54,10.5,5,34.14784,5.0
429,8.8,0.48,0.41,3.3,0.092,26.0,0.9982,3.31,0.53,10.5,6,80.4202,26.0
177,11.1,0.35,0.48,3.1,0.09,5.0,0.9986,3.17,0.53,10.5,5,51.318599999999996,16.0
504,7.4,0.49,0.19,3.0,0.077,16.0,0.9966,3.37,0.51,10.5,5,63.5336,21.0
66,5.0,1.02,0.04,1.4,0.045,41.0,0.9938,3.75,0.48,10.5,4,108.22879999999999,44.0
291,7.0,0.58,0.12,1.9,0.091,34.0,0.9956,3.44,0.48,10.5,5,149.10660000000001,90.0
931,8.0,1.18,0.21,1.9,0.083,14.0,0.99532,3.34,0.47,10.5,5,67.67832,27.0
583,7.3,0.49,0.1,2.6,0.068,4.0,0.99562,3.3,0.47,10.5,5,39.82362,10.0
253,11.9,0.43,0.66,3.1,0.109,10.0,1.0,3.15,0.85,10.4,7,54.599000000000004,13.0
334,12.5,0.37,0.55,2.6,0.083,25.0,0.9995,3.15,0.82,10.4,6,99.4725,43.0
811,8.2,0.2,0.43,2.5,0.076,31.0,0.99672,3.53,0.81,10.4,6,78.14272,20.0
292,11.9,0.38,0.51,2.0,0.121,7.0,0.9996,3.24,0.76,10.4,6,50.31060000000001,13.0
392,12.4,0.35,0.49,2.6,0.079,27.0,0.9994,3.12,0.75,10.4,6,100.1884,42.0
1039,6.4,0.42,0.09,2.3,0.054,34.0,0.99724,3.41,0.68,10.4,6,88.75124,30.0
674,8.5,0.21,0.52,1.9,0.09,9.0,0.99648,3.36,0.67,10.4,5,49.64648,14.0
625,9.0,0.8,0.12,2.4,0.083,8.0,0.99836,3.33,0.65,10.4,6,55.78136,20.0
228,9.6,0.77,0.12,2.9,0.0819999999999999,30.0,0.99865,3.3,0.64,10.4,6,102.81065,44.0
430,10.1,0.65,0.37,5.1,0.11,11.0,1.0026,3.32,0.64,10.4,6,96.6926,54.0
908,7.1,0.46,0.2,1.9,0.077,28.0,0.9956,3.37,0.64,10.4,6,79.1426,26.0
735,7.1,0.43,0.17,1.8,0.0819999999999999,27.0,0.99634,3.49,0.64,10.4,5,76.10834,24.0
798,9.1,0.6,1e-12,1.9,0.0579999999999999,5.0,0.9977,3.18,0.63,10.4,6,36.865700000001,5.0
857,6.8,0.65,0.02,2.1,0.078,8.0,0.99498,3.35,0.62,10.4,6,40.012980000000006,7.0
1019,7.4,0.41,0.24,1.8,0.066,18.0,0.9956,3.37,0.62,10.4,5,72.30160000000001,29.0
715,7.0,0.5,0.14,1.8,0.078,10.0,0.99636,3.53,0.61,10.4,5,48.05436,13.0
410,10.2,0.24,0.49,2.4,0.075,10.0,0.9978,3.14,0.61,10.4,5,56.552800000000005,18.0
301,12.8,0.84,0.63,2.4,0.088,13.0,0.9997,3.1,0.6,10.4,6,66.8577,22.0
721,8.6,0.83,1e-12,2.8,0.095,17.0,0.99822,3.33,0.6,10.4,6,70.653220000001,26.0
1087,6.8,0.48,0.25,2.0,0.076,29.0,0.9953,3.34,0.6,10.4,5,85.9413,32.0
1103,11.2,0.4,0.5,2.0,0.099,19.0,0.99783,3.1,0.58,10.4,5,79.27682999999999,31.0
515,9.0,0.66,0.17,3.0,0.077,5.0,0.9976,3.29,0.55,10.4,5,41.1446,8.0
119,6.8,0.63,0.07,2.1,0.089,11.0,0.9953,3.47,0.55,10.4,6,69.1043,33.0
709,8.9,0.32,0.31,2.0,0.088,12.0,0.9957,3.17,0.55,10.4,6,45.733700000000006,7.0
859,10.2,0.33,0.46,1.9,0.081,6.0,0.99628,3.1,0.48,10.4,6,36.94728,3.0
614,7.5,0.42,0.32,2.7,0.067,7.0,0.99628,3.24,0.44,10.4,5,51.08328,18.0
454,8.9,0.29,0.35,1.9,0.067,25.0,0.997,3.18,1.36,10.3,6,84.344,32.0
31,8.1,0.66,0.22,2.2,0.069,9.0,0.9968,3.3,1.2,10.3,5,50.0458,14.0
374,9.1,0.22,0.24,2.1,0.078,1.0,0.999,3.41,0.87,10.3,6,55.317,27.0
1083,6.5,0.53,0.06,2.0,0.063,29.0,0.99489,3.38,0.83,10.3,6,68.65789,15.0
864,12.6,0.39,0.49,2.5,0.08,8.0,0.9992,3.07,0.82,10.3,6,51.2492,12.0
143,9.6,0.32,0.47,1.4,0.0559999999999999,9.0,0.99695,3.22,0.82,10.3,7,51.182950000000005,15.0
57,6.3,0.3,0.48,1.8,0.069,18.0,0.9959,3.44,0.78,10.3,6,85.4649,43.0
204,12.0,0.45,0.55,2.0,0.073,25.0,0.9997,3.1,0.76,10.3,6,79.2327,24.0
205,7.5,0.4,0.12,3.0,0.092,29.0,0.9967,3.37,0.7,10.3,6,79.4787,24.0
985,6.6,0.64,0.31,6.1,0.083,7.0,0.99718,3.35,0.68,10.3,5,78.06018,42.0
209,10.4,0.55,0.23,2.7,0.091,18.0,0.9994,3.22,0.64,10.3,6,77.13040000000001,30.0
239,7.8,0.43,0.32,2.8,0.08,29.0,0.9974,3.31,0.64,10.3,5,84.6774,29.0
600,6.6,0.66,1e-12,3.0,0.115,21.0,0.99629,3.45,0.63,10.3,5,56.751290000001006,10.0
375,11.9,0.38,0.49,2.7,0.098,12.0,1.0004,3.16,0.61,10.3,5,72.6384,30.0
1061,6.8,0.68,0.21,2.1,0.07,9.0,0.99546,3.38,0.6,10.3,5,48.13546,14.0
894,7.2,0.57,0.05,2.3,0.081,16.0,0.99564,3.38,0.6,10.3,6,61.47664,20.0
557,6.9,0.635,0.17,2.4,0.241,6.0,0.9961,3.4,0.59,10.3,6,43.632099999999994,12.0
322,8.9,0.59,0.39,2.3,0.095,5.0,0.9986,3.37,0.58,10.3,5,49.5236,17.0
582,7.6,0.48,0.31,2.8,0.07,4.0,0.99693,3.22,0.55,10.3,6,41.326930000000004,11.0
703,8.2,0.43,0.29,1.6,0.081,27.0,0.99603,3.25,0.54,10.3,5,70.68703,18.0
591,7.1,0.48,0.28,2.8,0.068,6.0,0.99682,3.24,0.53,10.3,5,41.79482,10.0
102,7.3,0.33,0.47,2.1,0.077,5.0,0.9958,3.33,0.53,10.3,6,36.4328,6.0
1025,7.0,0.59,1e-12,1.7,0.052,3.0,0.996,3.41,0.47,10.3,5,32.518000000000995,5.0
961,7.6,0.645,0.03,1.9,0.086,14.0,0.9969,3.37,0.46,10.3,5,82.3879,43.0
572,10.8,0.89,0.3,2.6,0.132,7.0,0.99786,2.99,1.18,10.2,5,90.08986,53.0
914,7.0,0.6,0.3,4.5,0.068,20.0,0.99914,3.3,1.17,10.2,5,138.13714,90.0
655,9.4,0.24,0.33,2.3,0.061,52.0,0.99786,3.47,0.9,10.2,6,100.89886000000001,21.0
258,12.5,0.46,0.63,2.0,0.071,6.0,0.9988,2.99,0.87,10.2,5,45.7198,9.0
344,9.3,0.39,0.4,2.6,0.073,10.0,0.9984,3.34,0.75,10.2,6,54.0514,16.0
441,6.8,0.69,1e-12,5.6,0.124,21.0,0.9997,3.46,0.72,10.2,5,86.593700000001,37.0
1142,5.9,0.645,0.12,2.0,0.075,32.0,0.99547,3.57,0.71,10.2,5,68.21547,12.0
1093,6.1,0.705,0.1,2.8,0.081,13.0,0.99631,3.6,0.66,10.2,5,53.24231,15.0
911,8.7,0.63,0.28,2.7,0.096,17.0,0.99734,3.26,0.63,10.2,6,96.49334,52.0
362,10.0,0.59,0.31,2.2,0.09,26.0,0.9994,3.18,0.63,10.2,6,90.1994,36.0
38,7.6,0.51,0.15,2.8,0.11,33.0,0.9955,3.17,0.63,10.2,6,99.16550000000001,40.0
